university,整理人,检查人,english_name,established,location,type,manager,level,C9,source
北京大学,zyn,wff,PKU,1898.07,北京市,综合,教育部,985、211,1,
中国人民大学,zph,wff,RUC,1937.08,北京市,综合,教育部,985、211,,
清华大学,zph,wff,THU,1911.04,北京市,理工,教育部,985、211,1,
北京交通大学,zph,wff,BJTU,1896,北京市,理工,教育部,211,,
北京工业大学,zph,wff,BJUT,1960,北京市,理工,北京市,211,,
北京航空航天大学,zph,wff,BUAA,1952.1,北京市,理工,工信部,985、211,,
北京理工大学,zph,wff,BIT,1940,北京市,理工,工信部,985、211,,
北京科技大学,zph,wff,USTB,1952,北京市,理工,教育部,211,,
北京邮电大学,zph,wff,BUPT,1955.09,北京市,理工,教育部,211,,
中国农业大学,zph,wff,CAU,1905.12,北京市,农林,教育部,985、211,,
北京林业大学,zph,wff,BFU,1952.1,北京市,农林,教育部,211,,
北京协和医学院,zph,wff,PUMC,1917,北京市,医药,国家卫生健康委员会,否,,
北京中医药大学,zph,wff,BUCM,1956,北京市,医药,教育部,211,,
北京师范大学,zph,wff,BNU,1902,北京市,师范语言,教育部,985、211,,
首都师范大学,zph,wff,CNUEF,1954,北京市,师范语言,北京市,否,,
北京外国语大学,zph,wff,BFSU,1941.09,北京市,师范语言,教育部,211,,
中国传媒大学,zph,wff,CUC,1954,北京市,师范语言,教育部,211,,
对外经济贸易大学,zph,wff,UIBE,1951.07,北京市,财经政法,教育部,211,,
外交学院,zph,wff,CFAU,1955.09,北京市,师范语言,外交部,否,,
中国人民公安大学,zph,wff,PPSUC,1948.07,北京市,财经政法,公安部,否,,
北京体育大学,zph,wff,BSU,1953.11,北京市,民族艺体,国家体育总局,211,,
中央音乐学院,zph,wff,CCOM,1949.1,北京市,民族艺体,教育部,211,,
中国音乐学院,zph,wff,CCMUSIC,1964.09,北京市,民族艺体,北京市,否,,
中央美术学院,zph,wff,CAFA,1918,北京市,民族艺体,教育部,否,,
中央戏剧学院,zph,wff,CHNTHEATRE,1940.04,北京市,民族艺体,教育部,否,,
中央民族大学,mzy,zph,CUN,1951.06,北京市,民族艺体,国家民族事务委员会,985、211,,
中国政法大学,mzy,zph,CUPL,1952.05,北京市,财经政法,教育部,211,,
南开大学,mzy,zph,NKU,1919.02,天津市,综合,教育部,985、211,,
天津大学,mzy,zph,TJU,1895.1,天津市,理工,教育部,985、211,,
天津工业大学,mzy,zph,TJPU,1912,天津市,理工,天津市,否,,
天津医科大学,mzy,zph,TMU,1951,天津市,医药,天津市,211,,
天津中医药大学,mzy,zph,TJUTCM,1958.1,天津市,医药,天津市,否,,
华北电力大学,mzy,zph,NCEPU,1958.1,北京市,理工,教育部,211,,
河北工业大学,mzy,zph,HEBUT,1903,天津市,理工,河北省,211,,
山西大学,mzy,zph,SXU,1902.05,太原市,综合,山西省,否,,
太原理工大学,mzy,zph,TYUT,1902.06,太原市,综合,山西省,211,,
内蒙古大学,mzy,zph,IMU,1957.1,内蒙古省呼和浩特市,综合,内蒙古自治区,211,,
辽宁大学,mzy,zph,LNU,1948.11,沈阳市,综合,辽宁省,211,,
大连理工大学,mzy,zph,DUT,1949.04,大连市,理工,教育部,985、211,,
东北大学,mzy,zph,NEU,1923.04,沈阳市,理工,教育部,985、211,,
大连海事大学,mzy,zph,DMU,1909,大连市,理工,交通运输部,211,,
吉林大学,mzy,zph,JLU,1946.1,长春市,综合,教育部,985、211,,
延边大学,mzy,zph,YBU,1949.03,吉林省延边朝鲜族自治州,综合,吉林省,211,,
东北师范大学,mzy,zph,NENU,1946,长春市,师范语言,教育部,211,,
哈尔滨工业大学,mzy,zph,HIT,1920.1,哈尔滨市,理工,工业和信息化部,985、211,1,http://www.hit.edu.cn/11540/list.htm
哈尔滨工程大学,mzy,zph,HEU,1953,哈尔滨市,理工,工业和信息化部,211,,http://www.hrbeu.edu.cn/xygk/lsyg.aspx
东北农业大学,mzy,zph,NEAU,1948,哈尔滨市,农林,黑龙江省,211,,http://www.neau.edu.cn/xygk/lsyg.htm
东北林业大学,mzy,zph,NEFU,1952.1,哈尔滨市,农林,教育部,211,,https://www.nefu.edu.cn/xxgk/dsj.htm
复旦大学,mzy,zph,FDU,1905.09,上海市,综合,教育部,985、211,1,https://www.fudan.edu.cn/449/list.htm
同济大学,cjt,mzy,TONGJI,1907.1,上海市,综合,教育部,985、211,,https://www.tongji.edu.cn/xxgk1/lsyg1.htm
上海交通大学,cjt,mzy,SJTU,1896.12,上海市,理工,教育部,985、211,1,https://www.sjtu.edu.cn/lsyg/index.html
华东理工大学,cjt,mzy,ECUST,1953.1,上海市,理工,教育部,211,,https://xiaoban.ecust.edu.cn/_t238/p7534c7484/list.htm
东华大学,cjt,mzy,DHU,1951,上海市,综合,教育部,211,,https://www.dhu.edu.cn/lsyg/listm.htm
上海海洋大学,cjt,mzy,SHOU,1912.01,上海市,理工,上海市,否,,https://www.shou.edu.cn/lsyg_108/list.htm
上海中医药大学,cjt,mzy,SHUTCM,1956,上海市,医药,上海市,否,,https://xxgk.shutcm.edu.cn/2020/1102/c1342a127480/page.htm
华东师范大学,cjt,mzy,ECNU,1951.7,上海市,师范语言,教育部,985、211,,https://www.ecnu.edu.cn/wzcd/xxgk/xsyg.htm
上海外国语大学,cjt,mzy,SISU,1949.12,上海市,师范语言,教育部,211,,http://www.shisu.edu.cn/about/history-at-a-glance
上海财经大学,cjt,mzy,SUFE,1917.9,上海市,财经政法,教育部,211,,https://www.sufe.edu.cn/41/list.htm
上海体育学院,cjt,mzy,SUS,1952.11,上海市,民族艺体,上海市,否,,https://www.sus.edu.cn/xxgk/lsyg.htm
上海音乐学院,cjt,mzy,SHCM,1927.11,上海市,民族艺体,上海市,否,,https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E9%9F%B3%E4%B9%90%E5%AD%A6%E9%99%A2/545259
上海大学,cjt,mzy,SHU,1994.5,上海市,综合,上海市,上海市,,https://xxgk.shu.edu.cn/info/1050/9786.htm
南京大学,cjt,mzy,NJU,1902.05,江苏省南京市,综合,教育部,985、211,1,https://historymuseum.nju.edu.cn/jypx/ndxs/ndxs/zydxjqqs19021949/dyzsjljsfxt19021912/ysjsfxtdcj/index.html
苏州大学,cjt,mzy,SUDA,1900.5,江苏省南京市,综合,江苏省,211,,https://baike.baidu.com/item/%E8%8B%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6
东南大学,cjt,mzy,SEU,1902.05,江苏省南京市,综合,教育部,985、211,,https://baike.baidu.com/item/%E4%B8%9C%E5%8D%97%E5%A4%A7%E5%AD%A6/137673
